"","Estadillo","calidad","calidad_sd","conte_invasora","riquesa_total","riquesa_invasores","provincia"
"52",52,2.27514792899408,0.619225902902434,"No",26,0,50
"53",53,2.40263543191801,0.781264536495891,"No",22,0,50
"54",54,2.36170212765957,0.768164019495863,"No",28,0,50
"55",55,2.39687055476529,0.791940452181386,"Yes",24,2,49
"56",56,2.43655589123867,0.829519069816447,"No",24,0,48
"57",57,2.36625,0.717812654010656,"No",22,0,49
"58",58,2.30512514898689,0.734333560362814,"No",17,0,50
"59",59,2.33606557377049,0.785755423333165,"No",24,0,50
"60",60,2.27181688125894,0.690038403234277,"No",24,0,50
"61",61,2.33594976452119,0.814671626551244,"No",20,0,50
"62",62,2.29127725856698,0.698260768520526,"No",25,0,50
"63",63,2.2375415282392,0.643709561141112,"No",29,0,50
"64",64,2.30759330759331,0.686284257294908,"No",23,0,50
"65",65,2.41800246609125,0.892559894587478,"No",20,0,50
"66",66,2.2905604719764,0.737034245210139,"No",23,0,50
"67",67,2.33758700696056,0.780691927067124,"No",30,0,50
"68",68,2.35875706214689,0.753000322345334,"No",28,0,50
"69",69,2.39095744680851,0.859704924634693,"No",27,0,50
"70",70,2.47313432835821,1.02510812285498,"No",23,0,50
"71",71,2.49365079365079,1.00355061482997,"No",23,0,50
"72",72,2.23255813953488,0.65549674524896,"No",24,0,50
"73",73,2.51017639077341,0.889380033418797,"Yes",32,1,50
"74",74,2.34403080872914,0.731058801172633,"No",29,0,50
"75",75,2.38763197586727,0.840243978201267,"No",29,0,50
"76",76,2.29498525073746,0.664574085186067,"No",24,0,50
"77",77,2.46304849884527,0.935687779532537,"No",25,0,50
"78",78,2.37086092715232,0.717495404653859,"No",32,0,50
"79",79,2.39327485380117,0.816385154710001,"No",22,0,50
"80",80,2.25870646766169,0.666774094251875,"No",28,0,50
"81",81,2.30104712041885,0.728343208946105,"No",29,0,50
"82",82,2.45287958115183,1.00412234515452,"No",27,0,50
"83",83,2.51074380165289,1.02709982401524,"No",21,0,50
"84",84,2.31407407407407,0.668734018413322,"No",31,0,50
"85",85,2.32567567567568,0.652373787856903,"No",32,0,50
"86",86,2.25324675324675,0.689637004191638,"No",22,0,50
"87",87,2.35647058823529,0.85661660294106,"No",26,0,50
"88",88,2.27233429394813,0.644130809633345,"Yes",27,25,50
"89",89,2.31137724550898,0.700432007337433,"No",21,0,50
"90",90,2.36890243902439,0.838688188476638,"No",26,0,50
"91",91,2.22646657571623,0.629865269259659,"No",27,0,50
"92",92,2.40987654320988,0.948566668149245,"No",27,0,50
"93",93,2.37619047619048,0.762644192254229,"No",21,0,50
"94",94,2.39640883977901,0.724240111127716,"No",21,0,50
"95",95,2.25961538461538,0.700629832623695,"No",33,0,50
"96",96,2.45892857142857,0.93343323154422,"No",20,0,50
"97",97,2.29508196721311,0.756636084860575,"No",25,0,50
"98",98,2.37353433835846,0.793959834649726,"No",27,0,50
"99",99,2.3963963963964,0.862976978457608,"No",25,0,50
"100",100,2.30029585798817,0.682088232403124,"No",21,0,50
"101",101,2.29243937232525,0.714192779770404,"No",27,0,50
"102",102,2.44940476190476,0.883934910970672,"No",24,0,50
"103",103,2.45252774352651,0.964123294024783,"No",26,0,50
"104",104,2.50759878419453,0.949615003362095,"No",25,0,50
"105",105,2.36034732272069,0.721585931129267,"No",26,0,50
"106",106,2.30173775671406,0.719713471982118,"No",28,0,50
"107",107,2.22162883845127,0.597688968190516,"No",27,0,50
"108",108,2.28985507246377,0.657687581068766,"No",23,0,50
"109",109,2.28879310344828,0.783785855909375,"No",22,0,50
"110",110,2.30013642564802,0.659079075122444,"No",23,0,50
"111",111,2.36363636363636,0.770006082319624,"No",30,0,50
"112",112,2.40858505564388,0.68653292225733,"No",29,0,50
"113",113,2.25811965811966,0.627595885300771,"No",26,0,50
"114",114,2.35380507343124,0.769785072737527,"No",23,0,50
"115",115,2.25430210325048,0.629993949170733,"No",26,0,50
"116",116,2.35724743777452,0.860361740383237,"No",23,0,50
"117",117,2.3619344773791,0.798466500205286,"No",25,0,50
"118",118,2.38443113772455,0.82205626604562,"No",26,0,50
